    N   =   10000
      x:            y:             z:          PE:            KE:
     -3.0064072      18.811118     0.10897122
     -3.0489531      18.803026     0.10949265
     -3.0914836      18.794840     0.11001353
     -3.1339985      18.786559     0.11053385
     -3.1764976      18.778183     0.11105361
     -3.2189807      18.769712     0.11157282
     -3.2614476      18.761147     0.11209146
     -3.3038980      18.752487     0.11260954
     -3.3463318      18.743732     0.11312705
     -3.3887486      18.734883     0.11364399
     -3.4311484      18.725939     0.11416035
     -3.4735308      18.716901     0.11467614
     -3.5158957      18.707768     0.11519135
     -3.5582428      18.698541     0.11570598
     -3.6005720      18.689219     0.11622003
     -3.6428830      18.679802     0.11673348
     -3.6851755      18.670291     0.11724635
     -3.7274494      18.660686     0.11775863
     -3.7697045      18.650987     0.11827031
     -3.8119405      18.641193     0.11878139
     -3.8541572      18.631304     0.11929187
     -3.8963545      18.621322     0.11980175
     -3.9385320      18.611245     0.12031102
     -3.9806896      18.601074     0.12081968
     -4.0228270      18.590809     0.12132773
     -4.0649440      18.580450     0.12183517
     -4.1070405      18.569997     0.12234199
     -4.1491162      18.559449     0.12284819
     -4.1911708      18.548808     0.12335377
     -4.2332042      18.538073     0.12385873
     -4.2752161      18.527243     0.12436305
     -4.3172064      18.516320     0.12486675
     -4.3591748      18.505303     0.12536981
     -4.4011211      18.494192     0.12587224
     -4.4430450      18.482987     0.12637403
     -4.4849464      18.471689     0.12687518
     -4.5268250      18.460297     0.12737568
     -4.5686807      18.448811     0.12787554
     -4.6105132      18.437231     0.12837475
     -4.6523222      18.425558     0.12887330
     -4.6941077      18.413791     0.12937121
     -4.7358692      18.401931     0.12986845
     -4.7776068      18.389978     0.13036504
     -4.8193200      18.377931     0.13086096
     -4.8610088      18.365790     0.13135622
     -4.9026728      18.353556     0.13185081
     -4.9443119      18.341229     0.13234474
     -4.9859259      18.328809     0.13283798
     -5.0275145      18.316295     0.13333056
     -5.0690775      18.303689     0.13382245
     -5.1106148      18.290989     0.13431366
     -5.1521260      18.278196     0.13480419
     -5.1936110      18.265310     0.13529404
     -5.2350696      18.252332     0.13578319
     -5.2765015      18.239260     0.13627166
     -5.3179065      18.226096     0.13675943
     -5.3592844      18.212838     0.13724650
     -5.4006351      18.199488     0.13773288
     -5.4419582      18.186045     0.13821855
     -5.4832535      18.172510     0.13870352
